"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 16:49:52 GMT 2024","Thu Mar 14 16:49:52 GMT 2024","1","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Thu Mar 14 16:49:49 GMT 2024","Thu Mar 14 16:49:50 GMT 2024","830","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testOpenTrialPricingPage","testOpenTrialPricingPage","Check that pricing page is visible after click on get free trial button"
"passed","Thu Mar 14 16:49:38 GMT 2024","Thu Mar 14 16:49:49 GMT 2024","11257","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testPageTitle","testPageTitle","Check title adn url on index page"
"passed","Thu Mar 14 16:49:52 GMT 2024","Thu Mar 14 16:49:52 GMT 2024","4","Tests.Manual","","","Tests\Manual\IndexCest","testBlogsTitle","testBlogsTitle","Check title in blog page"
"passed","Thu Mar 14 16:49:52 GMT 2024","Thu Mar 14 16:49:52 GMT 2024","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Thu Mar 14 16:49:50 GMT 2024","Thu Mar 14 16:49:51 GMT 2024","468","Tests.Api","","","Tests\Api\TestApiCest","test","test","Check that user not authorized with random uuid"
"passed","Thu Mar 14 16:49:51 GMT 2024","Thu Mar 14 16:49:51 GMT 2024","2","Tests.Unit","","","Tests\Unit\TestUnitCest","colorizePathProvider","colorizePathProvider","Check some unit test"
"passed","Thu Mar 14 16:49:52 GMT 2024","Thu Mar 14 16:49:52 GMT 2024","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Thu Mar 14 16:49:52 GMT 2024","Thu Mar 14 16:49:52 GMT 2024","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
