"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 07 09:23:13 GMT 2023","Thu Dec 07 09:23:13 GMT 2023","5","Tests.Manual","","","Tests\Manual\IndexCest","testBlogsTitle","testBlogsTitle","Check title in blog page"
"passed","Thu Dec 07 09:23:13 GMT 2023","Thu Dec 07 09:23:13 GMT 2023","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Thu Dec 07 09:23:13 GMT 2023","Thu Dec 07 09:23:13 GMT 2023","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Thu Dec 07 09:23:13 GMT 2023","Thu Dec 07 09:23:13 GMT 2023","3","Tests.Unit","","","Tests\Unit\TestUnitCest","colorizePathProvider","colorizePathProvider","Check some unit test"
"passed","Thu Dec 07 09:23:10 GMT 2023","Thu Dec 07 09:23:11 GMT 2023","932","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testOpenTrialPricingPage","testOpenTrialPricingPage","Check that pricing page is visible after click on get free trial button"
"passed","Thu Dec 07 09:23:13 GMT 2023","Thu Dec 07 09:23:13 GMT 2023","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Thu Dec 07 09:23:08 GMT 2023","Thu Dec 07 09:23:10 GMT 2023","2044","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testPageTitle","testPageTitle","Check title adn url on index page"
"passed","Thu Dec 07 09:23:13 GMT 2023","Thu Dec 07 09:23:13 GMT 2023","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Thu Dec 07 09:23:12 GMT 2023","Thu Dec 07 09:23:12 GMT 2023","399","Tests.Api","","","Tests\Api\TestApiCest","test","test","Check that user not authorized with random uuid"
