"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 09:18:26 GMT 2024","Tue Apr 23 09:18:26 GMT 2024","336","Tests.Api","","","Tests\Api\TestApiCest","test","test","Check that user not authorized with random uuid"
"passed","Tue Apr 23 09:18:09 GMT 2024","Tue Apr 23 09:18:25 GMT 2024","15504","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testPageTitle","testPageTitle","Check title adn url on index page"
"passed","Tue Apr 23 09:18:25 GMT 2024","Tue Apr 23 09:18:25 GMT 2024","692","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testOpenTrialPricingPage","testOpenTrialPricingPage","Check that pricing page is visible after click on get free trial button"
"passed","Tue Apr 23 09:18:27 GMT 2024","Tue Apr 23 09:18:27 GMT 2024","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Tue Apr 23 09:18:27 GMT 2024","Tue Apr 23 09:18:27 GMT 2024","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Tue Apr 23 09:18:27 GMT 2024","Tue Apr 23 09:18:27 GMT 2024","1","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Tue Apr 23 09:18:27 GMT 2024","Tue Apr 23 09:18:27 GMT 2024","4","Tests.Manual","","","Tests\Manual\IndexCest","testBlogsTitle","testBlogsTitle","Check title in blog page"
"passed","Tue Apr 23 09:18:27 GMT 2024","Tue Apr 23 09:18:27 GMT 2024","3","Tests.Unit","","","Tests\Unit\TestUnitCest","colorizePathProvider","colorizePathProvider","Check some unit test"
"passed","Tue Apr 23 09:18:27 GMT 2024","Tue Apr 23 09:18:27 GMT 2024","1","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
