"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 02 17:02:32 GMT 2023","Sun Jul 02 17:02:32 GMT 2023","5","Tests.Unit","","","Tests\Unit\TestUnitCest","colorizePathProvider","colorizePathProvider","Check some unit test"
"passed","Sun Jul 02 17:02:33 GMT 2023","Sun Jul 02 17:02:33 GMT 2023","2","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Sun Jul 02 17:02:33 GMT 2023","Sun Jul 02 17:02:33 GMT 2023","3","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Sun Jul 02 17:02:33 GMT 2023","Sun Jul 02 17:02:33 GMT 2023","3","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Sun Jul 02 17:02:33 GMT 2023","Sun Jul 02 17:02:33 GMT 2023","6","Tests.Manual","","","Tests\Manual\IndexCest","testBlogsTitle","testBlogsTitle","Check title in blog page"
"passed","Sun Jul 02 17:02:29 GMT 2023","Sun Jul 02 17:02:30 GMT 2023","1244","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testOpenTrialPricingPage","testOpenTrialPricingPage","Check that pricing page is visible after click on get free trial button"
"passed","Sun Jul 02 17:02:27 GMT 2023","Sun Jul 02 17:02:29 GMT 2023","2515","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testPageTitle","testPageTitle","Check title adn url on index page"
"passed","Sun Jul 02 17:02:33 GMT 2023","Sun Jul 02 17:02:33 GMT 2023","3","Tests.Manual","","","Tests\Manual\IndexCest","testOpeningNewCourseInNewTab","testOpeningNewCourseInNewTab","Check that all courses is opened in new page"
"passed","Sun Jul 02 17:02:31 GMT 2023","Sun Jul 02 17:02:32 GMT 2023","455","Tests.Api","","","Tests\Api\TestApiCest","test","test","Check that user not authorized with random uuid"
