"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 03 09:38:14 GMT 2025","Sat May 03 09:38:14 GMT 2025","2","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testOpenTrialPricingPage","testOpenTrialPricingPage","Check that pricing page is visible after click on get free trial button"
"broken","Sat May 03 09:38:14 GMT 2025","Sat May 03 09:38:14 GMT 2025","5","Tests.Acceptance","","","Tests\Acceptance\IndexCest","testPageTitle","testPageTitle","Check title adn url on index page"
